X,Y,Arsenic_kit,Arsenic_lab
262282.2,2632506,100,55.58325162
256166.2,2631309,100,55.71381274
260442.7,2632180,100,56.58479446
260650.7,2632567,100,56.75332405
260160.7,2633454,100,57.73298795
256766.4,2634946,100,58.30875123
256736.2,2634909,100,59.84827619
260901.4,2633048,100,62.38299568
259986.2,2628151,100,62.49364689
262319.3,2632842,100,62.52122719
260271.9,2632045,100,63.12486015
262576.6,2633277,100,63.17217248
262566,2633249,100,63.55254332
256563.5,2634836,100,64.11409086
256313.4,2632897,100,64.31272448
260622.1,2632440,100,64.43140643
258570.6,2630361,100,64.92672789
260722.4,2632827,100,66.64502619
258993.9,2630945,100,67.54252415
255511,2630216,100,68.07036055
260823.7,2632973,100,68.28761775
260234.3,2633552,100,68.45061123
260614,2632442,100,70.23754253
262581.8,2633267,100,70.25063699
261245.1,2630151,100,71.00367623
261359.4,2630091,100,72.88052443
259741.5,2631110,100,73.83299584
262745.4,2633302,100,74.23677179
260840.5,2632944,100,74.42770702
261259.9,2629813,100,75.67538577
256204.3,2631312,100,76.02207327
260034,2632438,100,78.24270621
261154.6,2632512,100,78.8225037
259947.7,2628171,100,80.23093798
258588.7,2631592,100,81.55778462
259505.8,2630861,100,82.60805345
259739.4,2631104,100,84.98023017
261540.2,2627009,100,87.28359805
258676,2631702,100,87.47201617
259513.1,2630810,100,88.84654127
263866.6,2633315,100,88.88410114
261339.7,2629829,100,93.63573939
259471.7,2630744,100,96.9395155
254847.9,2630719,100,98.24610654
259059.3,2631051,100,105.0251081
254846.2,2630674,100,107.6490574
261179.1,2632576,100,108.0836378
255896.4,2635762,100,109.3288671
254900.9,2630399,100,109.5730178
259152.2,2635036,100,110.9115694
259141.7,2634954,100,112.1589673
256707.8,2634327,100,113.9798434
261109.5,2632499,100,115.023667
261126.8,2632496,100,116.3890958
259560.9,2631165,100,119.5268944
258562.4,2631569,100,133.2388851
260933.3,2630101,100,140.1242239
260216.2,2632670,100,183.336507
260767.3,2630160,100,184.6065516
261393,2629906,100,396.9986282
260122,2632428,100,44.62
258082.4,2632316,100,31.69
257743.2,2632154,100,74.33
257778.7,2632142,100,73.89
258075.5,2632510,100,101.43
257386.9,2631983,100,47.73
257492,2631357,100,9.15
257389.9,2631247,100,54.65
256676.4,2630157,100,67.88
256638.9,2630049,100,52.51
256525.1,2630056,100,64.66
256355.4,2629972,100,41.4
256673.4,2629982,100,44.69
256905.4,2632456,100,38.03
256999.5,2632497,100,33.2
257035.9,2632437,100,33.45
257043.6,2632391,100,52.05
256918.9,2632351,100,92.35
257196.7,2632095,100,55.75
257244.4,2632098,100,57.84
257361.5,2631586,100,56.13
257434.4,2631673,100,93.65
257378.2,2631765,100,42.49
256662.5,2631655,100,83.43
259288.5,2634629,100,62.4
257690.2,2634059,100,39.87
259260.9,2632867,100,33.52
258604.5,2631925,100,98.69
