Well_ID,Wp_ID.x,lat,lon,As_Result,Depth.2000,X2000,Y2000,Depth_2000,Installation_2000,As_GFAA_2000,As_MS_2000,As2014,As2015,As2015
1768,1369L,23.78204813,90.63140156,300,60,258702.4,2632193,60,1995,229,208.25,196.894,NA,
1775,1350L,23.78188225,90.63186684,300,45,258644.7,2632098,45,1988,242,223.32,241.98,288.6,288.6
1809,1034L,23.77919359,90.63367909,200,45,258860.7,2631799,45,1992,194,162.51,228.947,225.9,225.9
1836,917L,23.77611207,90.63258374,200,60,258761.6,2631559,60,1993,254,274.64,182.194,116.1,116.1
1837,920L,23.77633377,90.63273244,100,45,258690.8,2631501,45,1993,106,109.47,116.811,172.2,172.2
1857,883L,23.77474548,90.63669163,200,75,259132.6,2631287,75,1990,211,202.68,184.108,166.3,166.3
1872,934L,23.77483584,90.63109721,300,85,258659,2631322,85,1985,605,649.49,473.343,425.4,425.4
1912,316L,23.77227,90.63001,100,90,258452,2631038,90,1999,132,129.55,135.891,123.5,123.5
1915,313L,23.77225,90.62941,100,30,258458.1,2630997,30,1999,71,63.92,90.019,103.6,103.6
1991,244L,23.77004,90.62836,100,45,258233.6,2630779,45,1993,61,58.69,56.933,59.6,59.6
1996,230L,23.77055,90.62816,25,35,258252.8,2630816,35,1996,34,31.62,34.262,43.3,43.3
2009,357L,23.76829,90.62899,100,45,258330.7,2630591,45,1997,115,112.68,96.205,108.2,108.2
2026,407L,23.76606,90.62689,25,45,258224.4,2630334,45,1994,26,25.97,20.05,18.3,18.3
2027,406L,23.76625,90.62721,25,40,258181.1,2630387,40,1998,17,16.37,12.229,13.5,13.5
2038,432L,23.76853,90.62676,100,45,258119,2630633,45,1997,69,70.95,32.721,29.7,29.7
2042,155L,23.76917,90.62616,300,75,258099.3,2630680,75,1997,189,183.15,169.506,205.7,205.7
2055,019L,23.76945,90.6234,25,60,257841.7,2630728,60,1997,11,10.78,0.087,NA,
2062,039L,23.76906,90.62257,25,30,257680.8,2630652,30,1994,19,17.28,29.6,24,24
2073,065L,23.76833,90.62159,100,45,257627.1,2630593,45,1994,143,133.06,87.288,108.5,108.5
2092,074L,23.76715,90.62209,0,45,257657.8,2630401,45,1992,5,0.63,0.66,0.9,0.9
2104,097L,23.76832,90.62062,200,60,257545.5,2630593,60,1996,146,134.11,107.172,115.2,115.2
2108,089L,23.76934,90.62041,300,45,257477.6,2630701,45,1999,118,100.73,172.069,193.9,193.9
2141,1575L,23.77295075,90.62528386,50,60,258098.3,2631130,60,1997,40,32.53,12.368,NA,
