X,Y,Depth_m,Arsenic_lab
258119.5486,2631888.998,13,7.6
258146.1158,2631751.93,14,4.2
257985.3827,2631896.782,14,6.4
257080.512,2629320.945,14,3.3
257120.1916,2629558.514,14,1.8
257084.5373,2629560.995,14,4.6
257114.815,2629541.983,14,2.4
257070.8521,2629553.801,14,2.7
257022.5256,2629615.555,14,14.1
256975.9005,2629572.015,14,20.2
256963.6092,2629647.902,20,104.2
256945.6339,2629792.252,18,10.9
256959.4118,2629804.986,14,1.8
256876.5543,2629826.654,17,2.6
256994.0847,2629841.303,14,1.1
257045.8903,2629792.454,14,3.8
257017.0678,2629794.821,14,17.5
256930.4659,2629903.314,14,8.7
256937.3602,2629906.966,14,9.3
256913.541,2629903.598,14,2.1
256882.5521,2629880.184,23,3.2
256816.4657,2629892.374,14,6.2
256947.9575,2629930.722,14,3.1
256969.2458,2629880.502,14,2.4
256934.8518,2629860.801,14,2.7
257919.4325,2632117.725,12,2.6
257975.5298,2632118.559,14,1.9
257721.4785,2631866.183,12,4.9
257810.2543,2631894.171,21,2.6
257742.9716,2631834.354,14,5.9
257742.0822,2631878.691,15,1.6
257732.6001,2631921.4,11,2.5
256264.8873,2633983.027,23,1
257698.3112,2632005.079,11,1.9
257768.5266,2631935.536,13,2
256301.3617,2633927.008,27,0.5
257795.8287,2631946.159,13,1.3
257760.3028,2631955.951,12,6
256128.746,2634271.54,29,0.2
256164.3588,2634267.283,27,0.1
256155.7438,2634258.231,27,0.1
256551.0634,2632812.841,9,1.4
256597.2781,2632832.452,9,1.4
256581.6147,2632810.554,9,0.8
256643.6771,2632863.03,9,2.4
256638.2075,2632840.96,9,0.7
256607.1288,2632811.898,9,0.8
256631.2001,2632824.457,9,1.4
256569.5719,2632797.792,14,0.7
256549.9917,2632846.101,9,1.1
256545.9203,2632907.114,9,0.5
256529.6677,2632850.211,8,1.3
256423.3801,2632896.323,8,0.6
256511.3775,2632878.221,15,1.3
256442.5234,2632822.092,15,0.7
256576.4247,2632805.101,9,0.6
256460.066,2632858.696,9,0.9
256556.5502,2632932.864,9,1.1
256527.9732,2632955.507,9,0.7
256552.3069,2632886.729,9,1.8
256488.775,2632946.859,9,1
256426.8671,2632903.578,9,0.5
256403.2726,2632913.283,14,3.8
256410.5283,2632944.519,11,1.5
256357.6811,2632930.672,9,6.8
256458.1941,2632947.373,15,2.3
256485.1948,2632934.065,11,0.9
256512.4031,2632939.148,11,1.1
256468.7698,2633072.851,11,0.9
256543.0455,2632942.288,11,0.6
256587.845,2632974.777,11,1.9
256507.4225,2632843.161,11,3.5
256543.4416,2632862.833,9,6.7
256514.407,2632852.241,9,0.7
256531.4852,2632861.261,9,1
256439.0258,2632820.267,9,2
256397.2729,2632859.753,14,0.5
256421.5222,2632888.93,9,2.1
256402.588,2632872.628,9,1.8
256382.4805,2632889.588,9,18.1
256464.1073,2632795.911,14,3
256478.5426,2632841.764,9,3
256469.475,2632708.947,9,0.8
256481.7449,2632729.129,9,0.4
256443.183,2632661.41,9,1
256530.3031,2632791.029,9,0.1
256448.5985,2632783.207,9,0.2
256458.7922,2632783.036,9,0.1
256464.0438,2632792.144,11,0.1
256494.5175,2632882.161,9,1.2
256533.8007,2632792.854,9,1
256400.7841,2632765.507,9,5.8
256458.3805,2632655.614,9,0.1
256379.914,2632640.314,9,0.1
256380.7459,2632586.779,9,0.1
256505.0851,2632601.307,9,0.1
256527.2738,2632707.974,9,0.1
256585.7479,2632753.197,9,0.1
256617.2849,2632706.459,9,0.1
256604.5659,2632756.537,9,0.1
256615.8779,2632822.831,14,1.3
256519.8931,2632778.35,9,0.1
256594.6219,2632771.552,9,0.5
256588.8552,2632937.861,9,1.3
256598.3586,2632793.651,9,1.8
256612.2257,2632811.812,9,0.5
256649.7298,2632816.721,9,0.1
256569.4787,2632792.253,9,0.9
256842.1997,2632741.46,9,0.1
256723.8907,2632782.232,9,5.6
256705.7653,2632814.006,9,0.1
256736.2584,2632911.336,9,19.5
256710.7129,2632908.109,9,0.1
256766.6214,2632897.861,11,0.1
256697.4646,2632926.726,9,0.4
256695.7951,2632930.521,9,1.1
256727.2951,2632778.518,9,3.6
256657.5845,2632877.533,9,1.7
256711.147,2632933.92,15,0.1
256716.6409,2632854.378,9,0.1
256699.7106,2632860.203,9,0.4
256677.6308,2632856.918,14,1
256769.1311,2632944.025,9,0.8
256797.4655,2633010.033,9,0.6
256683.5344,2632904.799,9,0.6
256885.2661,2632773.978,9,0.7
256884.0619,2632805.468,9,2.6
256917.0889,2632847.352,9,0.7
256940.3134,2632815.603,9,0.4
256881.7072,2632768.498,9,0.7
256985.6881,2632785.255,9,0.5
256924.6189,2632791.822,9,0.7
256914.7361,2632810.493,9,5.4
256868.8943,2632813.036,9,1.1
256831.6696,2632824.742,9,9.7
256903.1818,2632832.848,9,0.6
256907.2992,2632871.562,9,0.7
256940.2501,2632811.837,9,9.6
256938.0961,2632883.898,9,5.1
256929.3473,2632872.964,9,3.9
256899.1703,2632897.516,9,0.5
256987.7352,2632907.109,9,0.4
256965.8906,2632820.714,9,2.2
256911.8673,2632840.016,9,3
256905.6891,2632878.902,9,0.7
256990.0439,2632844.242,9,5
256928.3064,2632908.107,9,1.2
256911.5622,2632925.01,9,0.9
256933.1556,2632893.289,9,0.3
256910.6056,2632971.233,9,0.6
256992.242,2632871.907,9,5
257054.6795,2633050.034,9,1.9
257077.8198,2633007.206,9,1.2
257198.209,2633296.94,9,0.2
256849.8889,2632288.904,9,5
256761.1655,2632270.118,9,0.2
256785.3288,2632288.105,9,0.1
256784.4908,2632238.256,14,1.6
256807.6548,2632202.852,9,0.2
256670.1886,2632214.36,9,3.4
256570.012,2632217.929,9,7.8
256633.0802,2632129.995,21,0.1
256538.8705,2632185.21,14,3.7
256540.805,2632100.188,14,14.8
255417.9054,2631624.143,11,0.3
255215.6441,2631627.563,11,1.5
258344.5501,2632136.437,14,1.6
254389.2441,2630901.026,9,8.2
255473.7758,2632818.157,14,0.7
255487.4889,2632827.123,21,0.2
258211.3573,2634026.027,15,1.8
258295.0592,2633952.603,21,1.7
258274.8588,2633964.021,21,8.2
258526.7347,2634192.506,17,8.9
258626.3432,2634455.004,8,8.6
258605.7734,2634444.267,8,11.3
258801.1213,2634444.663,9,5
258818.5123,2634466.534,9,4.9
258955.3321,2634521.538,9,5.8
258967.1648,2634515.801,9,1.4
258824.5012,2634519.953,14,9
258844.1087,2634576.913,11,6.6
258815.6655,2634601.432,14,6.4
258815.6027,2634597.666,14,6.4
258876.9118,2634605.951,15,5.1
257537.9354,2631361.319,18,3.8
258742.2464,2634582.269,14,5.6
258817.5139,2634712.208,14,16.3
258873.6008,2634713.045,15,1.6
258901.6761,2634666.481,14,2
258970.1425,2634798.307,14,4.8
257484.828,2631338.274,18,3.7
258947.9723,2634789.369,14,1.3
258851.4541,2634711.641,14,5.9
258919.7046,2634830.506,15,0.9
259047.5149,2634748.927,15,14.2
255512.2563,2632784.264,23,0.1
255581.5673,2632764.588,27,0.9
255461.5636,2632397.292,14,0.6
255936.5131,2632649.671,23,1.3
255766.4441,2632541.733,9,31.7
255787.767,2632596.777,9,10.1
255832.6311,2632632.919,9,7.5
255631.988,2632429.428,9,1.8
255728.2086,2632390.904,14,3.3
255662.0089,2632395.678,9,10.4
255646.1476,2632458.774,17,0.8
255764.417,2632421.651,12,3.6
255646.6471,2632488.352,11,4.8
255668.403,2632369.752,9,6
255694.8235,2632424.71,11,4.9
255724.2337,2632457.456,9,5.2
255713.7273,2632439.128,9,5
255815.0349,2632496.589,9,3.3
255789.8604,2632515.409,9,3.2
255888.5528,2632526.707,9,4.6
255943.6657,2632771.439,9,4
256078.1564,2632680.524,9,10.3
256141.9457,2632738.51,9,6.9
256331.5121,2632890.446,9,4
256437.9538,2631944.905,23,30.3
253909.574,2630682.012,14,7.9
257028.0204,2630247.062,12,4.4
255888.8477,2630524.735,8,10.8
258577.768,2633176.004,9,5.7
256926.1901,2630256.195,14,3.3
256907.9972,2630284.202,14,0.9
259403.6025,2635010.812,14,7.8
259440.6887,2635095.183,9,4.3
259504.3741,2635044.26,9,1.7
259496.1599,2635059.134,9,17.2
259541.7786,2635043.638,9,4.2
259523.1568,2635045.721,9,0.5
259530.2226,2635065.991,9,1.9
259528.9901,2635089.946,9,51.6
259541.397,2635124.865,9,0.8
259545.9713,2635093.431,9,7.7
259560.1501,2635124.553,9,6.8
259483.65,2635122.169,14,2.9
258051.8189,2633533.833,9,1.1
258048.4848,2633535.662,9,0.3
258231.5607,2633508.666,9,0.3
258167.7162,2633550.288,9,0.6
258126.571,2633632.309,14,1.5
258142.8933,2629831.382,14,0.9
258252.1684,2630060.366,18,2.1
258224.2302,2630121.776,14,0.5
258218.056,2630155.121,14,1.9
258198.6213,2630212.732,14,1.7
258196.4256,2630185.067,14,0.7
258238.262,2630143.703,12,0.8
258213.9108,2630114.524,14,0.6
258243.0214,2630123.346,14,0.7
258374.4991,2630265.199,23,3.9
258205.7221,2630332.616,9,4.8
258232.348,2630302.586,14,2.6
258193.2386,2630299.583,14,5.6
258188.0799,2630296.012,14,4.2
258170.2822,2630250.103,9,4.8
258193.9231,2630236.744,14,9.4
258256.9939,2629842.33,14,4
258330.4057,2629859.61,14,15.4
258312.6081,2629813.701,14,5.1
258290.8845,2629838.108,14,4.6
258289.1294,2629830.714,13,4.2
256601.8929,2629971.66,23,1.9
256461.493,2629913.076,18,80.7
256454.6935,2633447.951,29,0.4
256461.1758,2633627.018,29,0.4
256458.0515,2633647.349,27,3
256545.3618,2633782.504,18,0.7
256558.6388,2633765.66,26,0.6
256575.3516,2633746.984,26,0.4
256575.0085,2633726.601,21,0.1
256588.5354,2633724.601,27,0.7
256619.6039,2633650.169,21,0.5
256653.4854,2633645.942,21,0.4
256541.2977,2633644.063,29,5.2
256649.2279,2633392.929,21,0.5
256326.9583,2633830.506,23,0.4
256428.0804,2633780.823,17,1.3
256406.3347,2633803.351,17,0.6
256371.5838,2633755.956,30,0.6
256360.0885,2633479.13,30,0.6
259538.8864,2633030.683,18,23
259575.7288,2633100.21,14,10.1
259656.9386,2633078.583,11,4
259689.2514,2633078.047,11,4.2
259673.3642,2633146.677,11,5.1
259788.1477,2633102.221,9,4.8
259811.9706,2633100.053,11,12.3
259841.4614,2633138.345,12,15
259873.1304,2633099.037,8,6.6
259872.7991,2632980.814,14,18
